iteration,assign_ms,update_ms,total_ms
1,0.133702,2.936228,3.070902
2,0.110478,2.397544,2.508334
3,0.111450,2.086459,2.198239
4,0.111731,1.813464,1.925296
5,0.111009,1.815158,1.926538
6,0.111540,1.817261,1.928913
7,0.110959,1.818725,1.929764
8,0.111530,1.819075,1.930695
9,0.111420,1.820899,1.932589
10,0.111980,1.818053,1.930124
11,0.111871,1.819536,1.931497
12,0.111951,1.819546,1.931597
13,0.124033,1.819216,1.943340
14,0.111149,1.819957,1.931206
15,0.111830,1.818595,1.930515
16,0.111630,1.822843,1.934553
17,0.111450,1.822221,1.934322
18,0.111249,1.822081,1.933410
19,0.111360,1.821540,1.932990
20,0.112341,1.822621,1.935064
