iteration,assign_ms,update_ms,total_ms
1,3.253096,0.645636,3.900374
2,3.214914,0.591644,3.807239
3,3.215825,0.590783,3.807038
4,3.223159,0.587336,3.810596
5,3.221356,0.585522,3.807279
6,3.218360,0.587657,3.806117
7,3.221616,0.584601,3.806297
8,3.224852,0.585262,3.810225
9,3.220214,0.585002,3.805596
10,3.219443,0.585422,3.804995
11,3.223109,0.584190,3.807399
12,3.221436,0.582236,3.803782
13,3.226755,0.582728,3.809583
14,3.221285,0.581344,3.802710
15,3.220534,0.583469,3.804103
16,3.216216,0.580754,3.797060
17,3.224341,0.583398,3.808321
18,3.222618,0.581936,3.804664
19,3.226746,0.581345,3.808181
20,3.217799,0.581395,3.799274
