iteration,assign_ms,update_ms,total_ms
1,5.172909,1.969643,7.142971
2,5.204601,2.237357,7.442435
3,5.176733,2.218527,7.395768
4,5.165791,2.244992,7.410953
5,5.183317,2.175133,7.358947
6,5.338257,2.192925,7.531351
7,5.336765,2.221224,7.558159
8,5.186095,2.192834,7.379077
9,5.190288,2.058179,7.248861
10,5.163371,2.061218,7.224734
11,5.186399,2.077363,7.263903
12,5.175523,2.093447,7.269079
13,5.166481,2.075116,7.241720
14,5.205748,2.074061,7.279943
15,5.188487,2.073180,7.261808
16,5.172266,2.051335,7.223707
17,5.165291,2.212971,7.378809
18,5.180901,1.508343,6.689381
19,5.171607,1.545501,6.717219
20,5.161447,1.545388,6.706958
