iteration,assign_ms,update_ms,total_ms
1,100.122542,5.896454,106.020372
2,99.870143,6.480624,106.352494
3,99.698851,6.613959,106.320527
4,99.821273,6.515500,106.337203
5,99.732345,6.485458,106.220322
6,99.756140,6.511059,106.267626
7,99.698195,6.532177,106.230955
8,99.739093,6.500198,106.245810
9,99.889359,6.565189,106.456890
10,99.839901,6.513882,106.354095
11,99.936181,6.551772,106.494218
12,99.851020,6.519503,106.371022
13,99.766341,6.516741,106.283565
14,99.774734,6.589425,106.364792
15,99.814768,6.542853,106.358108
