iteration,assign_ms,update_ms,total_ms
1,22.958966,0.539230,23.499071
2,22.866634,0.550356,23.417705
3,23.215932,0.545555,23.762367
4,22.842579,0.533378,23.376289
5,22.858130,0.541411,23.400141
6,22.821957,0.526034,23.348586
7,22.805798,0.530216,23.336210
8,22.822809,0.546673,23.369710
9,22.822663,0.538872,23.362250
10,22.815764,0.550597,23.366735
11,23.065244,0.559133,23.624664
12,22.796126,0.552063,23.348385
13,22.827153,0.548932,23.376265
14,22.804712,0.537719,23.342636
15,22.817886,0.518814,23.336914
16,22.831712,0.529993,23.361896
17,22.836442,0.551123,23.388063
18,22.808807,0.534467,23.343561
19,22.838354,0.545081,23.383637
20,23.053153,0.545443,23.598784
